"camel-snake-kebab","0.4.0","Eclipse Public License"
"classworlds","1.1-alpha-2","/*"
"clj-time","0.15.1","MIT License"
"com.thoughtworks.paranamer/paranamer","2.7","BSD"
"commons-collections","3.2.1","The Apache Software License, Version 2.0"
"commons-lang","2.6","The Apache Software License, Version 2.0"
"danlentz/clj-uuid","0.1.7","Eclipse Public License"
"joda-time","2.10","Apache 2"
"junit","3.8.1","Common Public License Version 1.0"
"nrepl","0.8.3","Eclipse Public License"
"org.apache.avro/avro","1.8.2","The Apache Software License, Version 2.0"
"org.apache.avro/avro-compiler","1.8.2","The Apache Software License, Version 2.0"
"org.apache.avro/avro-maven-plugin","1.8.2","The Apache Software License, Version 2.0"
"org.apache.commons/commons-compress","1.8.1","The Apache Software License, Version 2.0"
"org.apache.maven.shared/file-management","1.2.1","The Apache Software License, Version 2.0"
"org.apache.maven.shared/maven-shared-io","1.1","The Apache Software License, Version 2.0"
"org.apache.maven.wagon/wagon-provider-api","1.0-beta-2","The Apache Software License, Version 2.0"
"org.apache.maven/maven-artifact","2.0.10","The Apache Software License, Version 2.0"
"org.apache.maven/maven-artifact-manager","2.0.10","The Apache Software License, Version 2.0"
"org.apache.maven/maven-model","2.0.10","The Apache Software License, Version 2.0"
"org.apache.maven/maven-plugin-api","2.0.10","The Apache Software License, Version 2.0"
"org.apache.maven/maven-plugin-registry","2.0.10","The Apache Software License, Version 2.0"
"org.apache.maven/maven-profile","2.0.10","The Apache Software License, Version 2.0"
"org.apache.maven/maven-project","2.0.10","The Apache Software License, Version 2.0"
"org.apache.maven/maven-repository-metadata","2.0.10","The Apache Software License, Version 2.0"
"org.apache.maven/maven-settings","2.0.10","The Apache Software License, Version 2.0"
"org.apache.velocity/velocity","1.7","The Apache Software License, Version 2.0"
"org.clojure/clojure","1.10.3","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.56","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.2.176","Eclipse Public License 1.0"
"org.clojure/test.check","0.10.0-alpha3","Eclipse Public License 1.0"
"org.codehaus.jackson/jackson-core-asl","1.9.13","The Apache Software License, Version 2.0"
"org.codehaus.jackson/jackson-mapper-asl","1.9.13","The Apache Software License, Version 2.0"
"org.codehaus.plexus/plexus-container-default","1.0-alpha-9-stable-1","unknown"
"org.codehaus.plexus/plexus-interpolation","1.1","The Apache Software License, Version 2.0"
"org.codehaus.plexus/plexus-utils","1.5.5","The Apache Software License, Version 2.0"
"org.nrepl/incomplete","0.1.0","EPL-2.0 OR GPL-2.0-or-later WITH Classpath-exception-2.0"
"org.slf4j/slf4j-api","1.7.7","MIT License"
"org.tukaani/xz","1.5","Public Domain"
"org.xerial.snappy/snappy-java","1.1.1.3","The Apache Software License, Version 2.0"
"primitive-math","0.1.4","MIT License"
Library name,Version,License name
