Library name,Version,License name
"camel-snake-kebab","0.4.0","Eclipse Public License"
"clj-time","0.15.1","MIT License"
"com.thoughtworks.paranamer/paranamer","2.7","BSD"
"joda-time","2.10","Apache 2"
"org.apache.avro/avro","1.8.2","The Apache Software License, Version 2.0"
"org.apache.commons/commons-compress","1.8.1","The Apache Software License, Version 2.0"
"org.clojure/clojure","1.10.0","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.44","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.2.176","Eclipse Public License 1.0"
"org.clojure/test.check","0.10.0-alpha3","Eclipse Public License 1.0"
"org.codehaus.jackson/jackson-core-asl","1.9.13","The Apache Software License, Version 2.0"
"org.codehaus.jackson/jackson-mapper-asl","1.9.13","The Apache Software License, Version 2.0"
"org.slf4j/slf4j-api","1.7.7","MIT License"
"org.tukaani/xz","1.5","Public Domain"
"org.xerial.snappy/snappy-java","1.1.1.3","The Apache Software License, Version 2.0"
